gene,connectivity,dynamicColors,moduleColors,moduleLabels
Cacna1e,83.80896283976963,brown,brown,1
Pclo,83.3948484728265,brown,brown,1
Slc4a8,83.36538244498169,brown,brown,1
Slc9a7,80.48459104852643,brown,brown,1
Grin2a,76.240252271111,brown,brown,1
Kif1b,75.51187095913738,brown,brown,1
Slc7a14,75.17671934656737,brown,brown,1
Tnr,74.8465449843862,brown,brown,1
Grm5,73.5274001358842,brown,brown,1
Atxn1,73.1464067896086,brown,brown,1
Ppp1r9a,72.95194549872144,brown,brown,1
Ubr4,72.81696680282967,brown,brown,1
Arfgef2,72.4966861715362,brown,brown,1
Tanc2,72.29964966759817,brown,brown,1
Wdfy3,71.91971709460151,brown,brown,1
Rbfox2,71.34796539852425,brown,brown,1
Myo5a,71.0984665150566,brown,brown,1
Slc1a2,70.41321612941655,brown,brown,1
Lrrc7,70.00073553455574,brown,brown,1
Mib1,69.84651228319454,brown,brown,1
Ino80d,68.21514368655666,brown,brown,1
Herc2,68.10237035624584,brown,brown,1
Stox2,67.63030459779267,brown,brown,1
Vps13d,67.50831513766717,brown,brown,1
Ankrd52,66.47533212328817,brown,brown,1
Tenm4,66.35249076282412,brown,brown,1
Golgb1,65.652380513322,brown,brown,1
Akap6,65.4315588956912,brown,brown,1
Srgap2,64.97588405339417,brown,brown,1
Erbb4,64.68488242278603,brown,brown,1
Ttbk2,64.31911127647797,brown,brown,1
Dgki,63.764279524515175,brown,brown,1
Srgap3,63.38202003877661,brown,brown,1
Cds2,63.3142598521528,brown,brown,1
Tnik,63.1935857405144,brown,brown,1
Ptprt,63.10521755247118,brown,brown,1
Hcfc1,62.93164059413672,brown,brown,1
Nr2c2,62.80151411649806,brown,brown,1
Kcnq2,62.70128082748406,brown,brown,1
Plec,62.60942392159105,brown,brown,1
Grik3,62.32601839118303,brown,brown,1
Plxna2,61.46433132718686,brown,brown,1
Mecp2,61.33535906405308,brown,brown,1
Snx30,61.22278883302776,brown,brown,1
Dlgap2,60.95852661076894,brown,brown,1
Trrap,60.89744888899739,brown,brown,1
Bmpr2,60.837931326837136,brown,brown,1
Bsn,60.78483674034336,brown,brown,1
Cmtm4,60.7371795188964,brown,brown,1
Scn8a,60.218521456189436,brown,brown,1
Klhl11,59.67484789401347,brown,brown,1
Erc1,59.63323705377131,brown,brown,1
Glg1,59.479004984238415,brown,brown,1
Kcna3,59.47349941951412,brown,brown,1
Bicd1,59.44806943460173,brown,brown,1
Hipk2,59.43371475730927,brown,brown,1
Fzd3,59.223403344222795,brown,brown,1
Tcp11l1,58.72518562621548,brown,brown,1
Phlpp2,58.687356525988456,brown,brown,1
Ylpm1,58.45544099805567,brown,brown,1
Rabgap1l,58.15158315913156,brown,brown,1
Dgke,57.88392047309584,brown,brown,1
Gabrb3,57.62737102835683,brown,brown,1
St8sia3,57.58199965136477,brown,brown,1
Htt,57.26978960602726,brown,brown,1
Dync1h1,57.13803552729505,brown,brown,1
Lrp1,56.76777494491313,brown,brown,1
Clmn,56.594428287631125,brown,brown,1
Phc3,56.506336120240185,brown,brown,1
Fut9,55.912055942381606,brown,brown,1
Add2,55.732439307386784,brown,brown,1
Tsc1,55.46672924713587,brown,brown,1
Ryr2,55.36584680317286,brown,brown,1
Grin2b,55.17041767198093,brown,brown,1
Insr,55.10092599343664,brown,brown,1
Kif21b,54.90533377532285,brown,brown,1
Nsd1,54.70640727355335,brown,brown,1
Kcnma1,54.43399464604736,brown,brown,1
Fry,54.241654731204086,brown,brown,1
Taok1,54.16948006661141,brown,brown,1
Spock2,53.950054969052005,brown,brown,1
Chd2,53.79069423648419,brown,brown,1
Rnf150,53.66431931761644,brown,brown,1
Dlg3,53.478761899556275,brown,brown,1
Itsn1,53.07550278534253,brown,brown,1
Arrb1,53.01552305451244,brown,brown,1
Chd5,52.87133828341251,brown,brown,1
Magi1,52.67644262238771,brown,brown,1
Kctd16,52.63633628155862,brown,brown,1
Dnajb14,51.918595484950465,brown,brown,1
Map2,51.59094174621429,brown,brown,1
Faxc,51.473827983195264,brown,brown,1
Sesn3,51.22922706438975,brown,brown,1
Whsc1l1,50.92166339099081,brown,brown,1
Kcnk9,50.911515184934125,brown,brown,1
Csmd1,50.62438734731391,brown,brown,1
Kcna2,50.55344359188971,brown,brown,1
Celsr2,49.87355832927906,brown,brown,1
Rab3c,49.82692481469934,brown,brown,1
Pkd1,49.16104950682574,brown,brown,1
Arhgap26,48.91661528138511,brown,brown,1
Kcnh7,48.911188082161814,brown,brown,1
Palm2,48.75490825489665,brown,brown,1
Macf1,48.65750972434384,brown,brown,1
Fat3,48.41989020102737,brown,brown,1
Rgs7bp,48.090090609556185,brown,brown,1
Xkr4,47.90211779254435,brown,brown,1
Gnaq,47.88108916090394,brown,brown,1
Mlec,47.7562639029215,brown,brown,1
Spin1,47.74220050555453,brown,brown,1
Igf1r,47.69846625810609,brown,brown,1
Stxbp5l,47.58525765663429,brown,brown,1
Gabrb1,47.365946385878374,brown,brown,1
